Equipment,Operation,Product,Material,Time,Lot,OPOrder
T1-FF101,摺疊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,1
T1-FF301,摺疊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,1
T1-FF302,摺疊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,1
T1-FF401,摺疊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,1
T1-EC201,修邊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,2
T1-EC301,修邊,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,240,1,2
T1-LM501,端蓋,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,144,1,3
T1-VP201,真空,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,45,1,4
T1-VP202,真空,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,45,1,4
T1-VP102,真空,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,65.45454545,1,4
T1-VP103,真空,GD7G06SD10EQXYYGG2,GD7G06SD10EQXYYGG2,65.45454545,1,4
T1-FF101,摺疊,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,120,1,1
T1-FF301,摺疊,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,120,1,1
T1-FF302,摺疊,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,120,1,1
T1-FF401,摺疊,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,120,1,1
T1-EC201,修邊,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,72,1,2
T1-LM101,端蓋,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,130.9090909,1,3
T1-LM901,端蓋,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,68.57142857,1,3
T1-LM902,端蓋,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,51.42857143,1,3
T1-VP201,真空,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,45,1,4
T1-VP202,真空,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,45,1,4
T1-VP102,真空,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,51.42857143,1,4
T1-VP103,真空,GDB0HSD10226E7D0GG2,GDB0HSD10226E7D0GG2,51.42857143,1,4
T1-FF101,摺疊,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,120,1,1
T1-FF301,摺疊,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,120,1,1
T1-FF302,摺疊,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,120,1,1
T1-FF401,摺疊,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,120,1,1
T1-EC201,修邊,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,72,1,2
T1-LM101,端蓋,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,130.9090909,1,3
T1-LM901,端蓋,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,68.57142857,1,3
T1-LM902,端蓋,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,51.42857143,1,3
T1-VP201,真空,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,45,1,4
T1-VP202,真空,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,45,1,4
T1-VP102,真空,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,51.42857143,1,4
T1-VP103,真空,GDB01S10226E7D0GG7,GDB01S10226E7D0GG7,51.42857143,1,4
T1-FF101,摺疊,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,120,1,1
T1-FF301,摺疊,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,120,1,1
T1-FF302,摺疊,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,120,1,1
T1-FF401,摺疊,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,120,1,1
T1-EC201,修邊,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,72,1,2
T1-LM101,端蓋,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,130.9090909,1,3
T1-LM901,端蓋,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,68.57142857,1,3
T1-LM902,端蓋,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,51.42857143,1,3
T1-JM402,接長,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,36,1,4
T1-VP201,真空,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,51.42857143,1,5
T1-VP202,真空,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,51.42857143,1,5
T1-VP102,真空,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,51.42857143,1,5
T1-VP103,真空,GDB1S10226E7D0GG7,GDB1S10226E7D0GG7,51.42857143,1,5
T1-FF101,摺疊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,120,1,1
T1-FF301,摺疊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,120,1,1
T1-FF302,摺疊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,120,1,1
T1-FF401,摺疊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,120,1,1
T1-EC201,修邊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,72,1,2
T1-EC301,修邊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,72,1,2
T1-EC501,修邊,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,72,1,2
T1-LM101,端蓋,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,130.9090909,1,3
T1-LM901,端蓋,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,68.57142857,1,3
T1-LM902,端蓋,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,51.42857143,1,3
T1-LM401,端蓋,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,51.42857143,1,3
T1-VP201,真空,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,45,1,4
T1-VP202,真空,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,45,1,4
T1-VP102,真空,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,51.42857143,1,4
T1-VP103,真空,GDT0HSD10250E0AA2,GDT0HSD10250E0AA2,51.42857143,1,4
T1-FF101,摺疊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,120,1,1
T1-FF301,摺疊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,120,1,1
T1-FF302,摺疊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,120,1,1
T1-FF401,摺疊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,120,1,1
T1-EC201,修邊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,72,1,2
T1-EC301,修邊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,72,1,2
T1-EC501,修邊,GDT02SD20498E8AA2,GDT02SD20498E8AA2,72,1,2
T1-LM101,端蓋,GDT02SD20498E8AA2,GDT02SD20498E8AA2,130.9090909,1,3
T1-LM901,端蓋,GDT02SD20498E8AA2,GDT02SD20498E8AA2,68.57142857,1,3
